STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,s_adj,Seasonal adjustment,na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NAMQ_10_EXI(1.0),Exports and imports by counterpart area,Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),P7,Imports of goods and services,LU,Luxembourg,2010-Q3,,13618.9,,,,,
dataflow,ESTAT:NAMQ_10_EXI(1.0),Exports and imports by counterpart area,Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),P7,Imports of goods and services,LU,Luxembourg,2010-Q4,,14759.7,,,,,
dataflow,ESTAT:NAMQ_10_EXI(1.0),Exports and imports by counterpart area,Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),P7,Imports of goods and services,LU,Luxembourg,2011-Q1,,15187.1,,,,,
dataflow,ESTAT:NAMQ_10_EXI(1.0),Exports and imports by counterpart area,Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),P7,Imports of goods and services,LU,Luxembourg,2011-Q2,,15337.5,,,,,
dataflow,ESTAT:NAMQ_10_EXI(1.0),Exports and imports by counterpart area,Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),P7,Imports of goods and services,LU,Luxembourg,2011-Q3,,15338.5,,,,,
dataflow,ESTAT:NAMQ_10_EXI(1.0),Exports and imports by counterpart area,Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),P7,Imports of goods and services,LU,Luxembourg,2011-Q4,,15846.4,,,,,
dataflow,ESTAT:NAMQ_10_EXI(1.0),Exports and imports by counterpart area,Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),P7,Imports of goods and services,LU,Luxembourg,2012-Q1,,15829.5,,,,,
dataflow,ESTAT:NAMQ_10_EXI(1.0),Exports and imports by counterpart area,Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),P7,Imports of goods and services,LU,Luxembourg,2012-Q2,,16238.4,,,,,
dataflow,ESTAT:NAMQ_10_EXI(1.0),Exports and imports by counterpart area,Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),P7,Imports of goods and services,LU,Luxembourg,2012-Q3,,16402.4,,,,,
dataflow,ESTAT:NAMQ_10_EXI(1.0),Exports and imports by counterpart area,Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),P7,Imports of goods and services,LU,Luxembourg,2012-Q4,,16933.9,,,,,
dataflow,ESTAT:NAMQ_10_EXI(1.0),Exports and imports by counterpart area,Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),P7,Imports of goods and services,LU,Luxembourg,2013-Q1,,17085.7,,,,,
dataflow,ESTAT:NAMQ_10_EXI(1.0),Exports and imports by counterpart area,Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),P7,Imports of goods and services,LU,Luxembourg,2013-Q2,,17591.6,,,,,
dataflow,ESTAT:NAMQ_10_EXI(1.0),Exports and imports by counterpart area,Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),P7,Imports of goods and services,LU,Luxembourg,2013-Q3,,17600.8,,,,,
dataflow,ESTAT:NAMQ_10_EXI(1.0),Exports and imports by counterpart area,Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),P7,Imports of goods and services,LU,Luxembourg,2013-Q4,,18491.7,,,,,
