Date,inflation,unemployment,gdp,exports,imports,acc_balance,consumption,population,emigration,immigration,life_expectancy,deaths
2009-12-31,1.3333333333333333,5.066666666666666,10489.0,15935.0,12682.5,-242.0,14371.413270567737,499924.5,9273.032371654685,16276.706837021502,80.8,3741.1041580616256
2010-03-31,2.8333333333333335,4.8999999999999995,10134.2,16090.7,12819.4,835.0,14579.0,502066.0,9302.0,16962.0,80.8,3760.0
2010-06-30,2.8333333333333335,4.266666666666667,10660.2,17227.6,14333.4,293.0,14763.24166384404,504509.5,9263.844287532798,17839.882693912994,80.875,3775.575084263635
2010-09-30,2.6999999999999997,4.266666666666667,10312.5,17180.7,13618.9,802.0,14930.020349791133,506953.0,9201.736191490607,18788.74563942103,80.94999999999999,3789.434896413985
2010-12-31,2.8333333333333335,4.8999999999999995,11295.8,18494.3,14759.7,517.0,15091.212600719253,509396.5,9181.141519523215,19651.064007818775,81.02499999999999,3803.3760692657597
2011-03-31,3.766666666666667,4.866666666666667,10883.5,18685.9,15187.1,779.0,15257.0,511840.0,9264.0,20268.0,81.1,3819.0
2011-06-30,3.8666666666666667,4.6000000000000005,11085.0,18685.3,15337.5,697.0,15441.279196079491,515093.25,9491.425640612957,20565.64769764723,81.19999999999999,3837.6962765589215
2011-09-30,3.5666666666666664,4.833333333333333,10764.6,18725.6,15338.5,543.0,15632.807664573065,518346.5,9815.825935537405,20615.902572585954,81.3,3856.369662884941
2011-12-31,3.733333333333333,5.033333333333334,11590.3,19026.6,15846.4,483.0,15812.554588502973,521599.75,10159.016954676457,20543.375198167134,81.4,3870.559617238784
2012-03-31,3.1333333333333333,5.2,11264.3,19330.2,15829.5,1834.0,15962.0,524853.0,10442.0,20478.0,81.5,3876.0
2012-06-30,2.766666666666667,4.8,11402.8,19412.4,16238.4,-1289.0,16072.685582501477,527899.5,10613.59958311831,20518.392068268484,81.6,3870.19317595266
2012-09-30,2.9,4.866666666666666,11293.1,19860.9,16402.4,2112.0,16159.13280631935,530946.0,10695.690291211753,20659.243131937917,81.7,3856.065497100153
2012-12-31,2.8000000000000003,5.3999999999999995,12566.0,21054.8,16933.9,-338.0,16240.254410433034,533992.5,10727.478417975215,20865.840815553143,81.80000000000001,3838.326190930059
2013-03-31,2.1666666666666665,5.866666666666667,11590.7,20770.6,17085.7,-1249.0,16334.0,537039.0,10750.0,21098.0,81.9,3822.0
2013-06-30,1.7,5.633333333333333,12219.6,21389.2,17591.6,-345.0,16458.019117814314,540199.25,10799.937027140377,21339.66852351794,82.0,3810.7969166253765
2013-09-30,1.7,5.8,11958.6,21258.0,17600.8,1493.0,16608.74814246902,543359.5,10896.888723435166,21609.42454718239,82.1,3808.20114099529
2013-12-31,1.2,6.2,13325.6,23176.7,18491.7,2032.0,16775.49799363396,546519.75,11055.057475155034,21933.804821367037,82.2,3817.471626384133
2014-03-31,1.0333333333333334,6.2,12311.2,22132.7,18425.8,-541.0,16945.0,549680.0,11283.0,22332.0,82.3,3841.0
2014-06-30,1.1666666666666667,5.7,12590.3,23025.0,18688.8,1010.0,17115.245924812898,552999.5,11591.97552531069,22820.276949410643,82.325,3879.828524437256
2014-09-30,0.7333333333333333,6.0,12723.4,23770.3,19510.6,1462.0,17284.962448449765,556319.0,11952.383123034113,23309.191210733446,82.35,3924.838024992047
2014-12-31,-0.10000000000000002,6.3,14166.3,25737.5,21396.5,188.0,17452.624561545046,559638.5,12319.236339350196,23675.861213471406,82.375,3963.376809904601
2015-03-31,-0.4666666666666666,6.533333333333334,13139.6,25884.4,21657.4,-353.0,17615.0,562958.0,12644.0,23803.0,82.4,3983.0
2015-06-30,0.3,6.166666666666667,13471.4,26420.2,21954.1,2016.0,17779.06424247114,566280.75,12907.58776584537,23634.950373469113,82.47500000000001,3977.883925014025
2015-09-30,0.03333333333333333,6.400000000000001,13139.5,25285.5,20923.9,2659.0,17951.23053322148,569603.5,13117.253686273734,23299.48574592271,82.55000000000001,3960.90205750305
2015-12-31,0.4000000000000001,6.733333333333333,14391.9,26274.0,21711.4,-1288.0,18137.433717686974,572926.25,13289.385897088741,22987.280376431805,82.625,3951.0464096638593
2016-03-31,-0.13333333333333333,6.666666666666667,13318.2,25866.8,21458.7,-4.0,18343.0,576249.0,13442.0,22888.0,82.7,3967.0
2016-06-30,-0.5333333333333333,6.066666666666666,13722.0,26346.8,21992.4,1761.0,18573.840267888867,579853.5,13589.490935043432,23121.27625745643,82.55,4020.8826566575253
2016-09-30,-0.10000000000000002,6.166666666666667,13881.8,26767.4,21592.7,929.0,18822.646869280517,583458.0,13718.739837035713,23572.87859407141,82.4,4101.323149564154
2016-12-31,0.9666666666666667,6.433333333333334,15286.0,28431.8,23393.3,1475.0,19073.015082351678,587062.5,13806.381948923921,24055.654748404304,82.25,4188.851920781425
2017-03-31,2.566666666666667,6.1000000000000005,13753.9,26782.7,22646.2,1801.0,19306.0,590667.0,13831.0,24379.0,82.1,4263.0
