Date,unemployment,unemployment_lag1,unemployment_lag4,gdp_growth_lag1,gdp_growth_lag4,inflation_lag1,emigration_lag1,net_migration_lag1,exports_lag1,consumption_lag1
2009-06-30,4.933333333333334,5.633333333333333,4.433333333333334,-7.885262350233124,3.37326703596057,0.1666666666666666,9168.0,6583.0,13742.1,13831.0
2009-09-30,4.833333333333333,4.933333333333334,4.866666666666666,2.9730249247132745,-4.374106075745998,-0.7333333333333334,9154.395646213194,6476.118731331151,13567.7,13964.751624310622
2009-12-31,5.066666666666666,4.833333333333333,5.6000000000000005,-0.9084686702756528,4.1439152571891125,-0.7000000000000001,9206.525039519986,6609.332652751653,14521.0,14155.2276934385
2010-03-31,4.9,5.066666666666666,5.633333333333333,9.774986917844064,-7.885262350233124,1.3333333333333333,9273.031717170676,7003.676373139193,15935.0,14371.41312814925
2010-06-30,4.266666666666667,4.9,4.933333333333334,-3.382591286109249,2.9730249247132745,2.833333333333333,9302.0,7660.0,16090.7,14579.0
2010-09-30,4.266666666666667,4.266666666666667,4.833333333333333,5.19034556255058,-0.9084686702756528,2.833333333333333,9263.844609634696,8576.037467477028,17227.6,14763.24173393478
2010-12-31,4.9,4.266666666666667,5.066666666666666,-3.261664884336135,9.774986917844064,2.7,9201.736524681555,9587.008476703502,17180.7,14930.020422294892
2011-03-31,4.866666666666667,4.9,4.9,9.53503030303029,-3.382591286109249,2.833333333333333,9181.14169499288,10469.9219768145,18494.3,15091.212638902194
2011-06-30,4.6000000000000005,4.866666666666667,4.266666666666667,-3.650029214398265,5.19034556255058,3.766666666666667,9264.0,11004.0,18685.9,15257.0
2011-09-30,4.833333333333333,4.6000000000000005,4.266666666666667,1.8514264712638395,-3.261664884336135,3.866666666666666,9491.425554090412,11074.22230924108,18685.3,15441.27917725182
2011-12-31,5.033333333333334,4.833333333333333,4.9,-2.890392422192145,9.53503030303029,3.5666666666666664,9815.825845812911,10800.076898588808,18725.6,15632.807645048635
2012-03-31,5.2,5.033333333333334,4.866666666666667,7.670512606134916,-3.650029214398265,3.733333333333333,10159.016907103898,10384.358382161165,19026.6,15812.554578150986
2012-06-30,4.8,5.2,4.6000000000000005,-2.812696824068406,1.8514264712638395,3.1333333333333333,10442.0,10036.0,19330.2,15962.0
2012-09-30,4.866666666666666,4.8,4.833333333333333,1.2295482187086648,-2.890392422192145,2.766666666666667,10613.599606239835,9904.79241775265,19412.4,16072.68558753282
2012-12-31,5.4,4.866666666666666,5.033333333333334,-0.9620444101448687,7.670512606134916,2.9,10695.690315125625,9963.552771019004,19860.9,16159.132811523112
2013-03-31,5.866666666666667,5.4,5.2,11.271484357705152,-2.812696824068406,2.8000000000000003,10727.47843056556,10138.36236087801,21054.8,16240.254413172748
2013-06-30,5.633333333333333,5.866666666666667,4.8,-7.761419703963068,1.2295482187086648,2.1666666666666665,10750.0,10348.0,20770.6,16334.0
2013-09-30,5.8,5.633333333333333,4.866666666666666,5.42590180058149,-0.9620444101448687,1.7,10799.937020944908,10539.731514436902,21389.2,16458.019116466152
2013-12-31,6.2,5.8,5.4,-2.1359127958361923,11.271484357705152,1.7,10896.88871702732,10712.535842425626,21258.0,16608.74814107464
2014-03-31,6.2,6.2,5.866666666666667,11.43110397538174,-7.761419703963068,1.2,11055.057471781322,10878.747356046126,23176.7,16775.497992899825
2014-06-30,5.7,6.2,5.633333333333333,-7.61241520081647,5.42590180058149,1.0333333333333334,11283.0,11049.0,22132.7,16945.0
2014-09-30,6.0,5.7,5.8,2.2670413932029287,-2.1359127958361923,1.1666666666666667,11591.975526971051,11228.301419260122,23025.0,17115.245925174197
2014-12-31,6.3,6.0,6.2,1.0571630540971988,11.43110397538174,0.7333333333333333,11952.383124751634,11356.808082692884,23770.3,17284.962448823506
2015-03-31,6.533333333333334,6.3,6.2,11.340522187465618,-7.61241520081647,-0.1,12319.2363402547,11356.624871484642,25737.5,17452.624561741868
2015-06-30,6.166666666666667,6.533333333333334,5.7,-7.247481699526337,2.2670413932029287,-0.4666666666666666,12644.0,11159.0,25884.4,17615.0
2015-09-30,6.400000000000001,6.166666666666667,6.0,2.5251910256019805,1.0571630540971988,0.3,12907.587765399365,10727.362608923808,26420.2,17779.064242374086
2015-12-31,6.733333333333333,6.400000000000001,6.3,-2.4637379930816383,11.340522187465618,0.0333333333333333,13117.253685811222,10182.232060997158,25285.5,17951.230533120834
2016-03-31,6.666666666666667,6.733333333333333,6.533333333333334,9.531565128049005,-7.247481699526337,0.4000000000000001,13289.385896843516,9697.894480057876,26274.0,18137.43371763361
2016-06-30,6.066666666666666,6.666666666666667,6.166666666666667,-7.460446501156892,2.5251910256019805,-0.1333333333333333,13442.0,9446.0,25866.8,18343.0
2016-09-30,6.166666666666667,6.066666666666666,6.400000000000001,3.031941253322512,-2.4637379930816383,-0.5333333333333333,13589.49093516262,9531.785322065582,26346.8,18573.8402679148
2016-12-31,6.433333333333334,6.166666666666667,6.733333333333333,1.164553272117752,9.531565128049005,-0.1,13718.739837158986,9854.138756676375,26767.4,18822.64686930734
2017-03-31,6.1000000000000005,6.433333333333334,6.666666666666667,10.115402901641012,-7.460446501156892,0.9666666666666668,13806.381948988825,10249.2727992912,28431.8,19073.0150823658
2017-06-30,5.366666666666667,6.1000000000000005,6.066666666666666,-10.022896768284706,3.031941253322512,2.566666666666667,13831.0,10548.0,26782.7,19306.0
2017-09-30,5.366666666666667,5.366666666666667,6.166666666666667,4.519445393670152,1.164553272117752,2.0,13790.520199965144,10649.580746673935,27500.4,19522.326606450017
2017-12-31,5.633333333333333,5.366666666666667,6.433333333333334,-1.5742061145699204,10.115402901641012,2.033333333333333,13748.029338224387,10621.824186614347,27977.3,19739.385225192404
2018-03-31,5.666666666666667,5.633333333333333,6.1000000000000005,12.304582591241896,-10.022896768284706,1.8666666666666665,13787.254746283585,10585.276518729008,29858.4,19979.36492818512
2018-06-30,5.4,5.666666666666667,5.366666666666667,-10.386905136499225,4.519445393670152,1.1666666666666667,13985.0,10659.0,28332.5,20260.0
2018-09-30,5.5,5.4,5.366666666666667,4.531696594731627,-1.5742061145699204,1.933333333333333,14387.915428653463,10909.4374986661,29267.6,20592.71614752857
2018-12-31,5.433333333333334,5.5,5.633333333333333,-0.4454148471615626,12.304582591241896,2.533333333333333,14892.522272907803,11196.056404870253,29931.6,20896.81089986292
2019-03-31,5.633333333333333,5.433333333333334,5.666666666666667,9.658741994911836,-10.386905136499225,2.433333333333333,15345.087918549098,11314.987803855702,31180.7,21063.90330148076
2019-06-30,5.466666666666666,5.633333333333333,5.4,-10.785846153846157,4.531696594731627,2.033333333333333,15593.0,11075.0,30753.0,20994.0
2019-09-30,5.566666666666666,5.466666666666666,5.5,6.924047926165566,-0.4454148471615626,1.9666666666666668,15552.18570341318,10358.079792726829,31804.3,20638.350491933823
2019-12-31,5.7,5.566666666666666,5.433333333333334,-0.6947894020424394,9.658741994911836,1.3666666666666665,15315.669853929534,9350.002085580749,32608.3,20142.705274018903
2020-03-31,6.266666666666667,5.7,5.633333333333333,10.587654449309449,-10.785846153846157,1.2,15036.60787624501,8340.659625688664,33771.4,19718.734370697075
2020-06-30,7.333333333333333,6.266666666666667,5.466666666666666,-9.269702523614832,6.924047926165566,1.5333333333333332,14870.0,7620.0,32069.0,19575.0
2020-09-30,6.7,7.333333333333333,5.566666666666666,-0.5516276901561645,-0.6947894020424394,-0.9333333333333336,14925.711073862369,7394.852885153023,30796.9,19851.498042768428
2020-12-31,6.466666666666666,6.7,5.7,3.011718749999992,10.587654449309449,-0.1333333333333333,15174.55856521745,7660.416263834295,32808.0,20473.10811740464
2021-03-31,6.5,6.466666666666666,6.266666666666667,12.948567239265362,-9.269702523614832,-0.4666666666666666,15545.85748732328,8352.658208289671,36186.5,21294.151411382187
2021-06-30,5.4,6.5,7.333333333333333,-5.612878677663769,-0.5516276901561645,1.0333333333333334,15959.0,9376.0,36558.2,22151.0
2021-09-30,4.933333333333334,5.4,6.7,5.283282844151471,3.011718749999992,3.5666666666666664,16365.575089585443,10669.015019755814,38291.9,22955.89549129831
2021-12-31,4.866666666666666,4.933333333333334,6.466666666666666,1.2601706129113932,12.948567239265362,3.6,16732.474429884034,12055.033052232622,39104.5,23687.32349650548
